0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
25043,23903,24555,24509,25181,25149,25104,24474,25788,23863,24550,24449,24480,24559,23852,25923,23840,25136,25748,24402,25154,25030,25285,25048,25142,25869,25241,27408,25153,25185,23835,26553,24448,25038,27284,25051,24488,25844,24455,25228,23291,26452,27338,23904,25765,24491,25224,25163,25144,26535,26517
25044,25034,18436,26468,22200,20362,23270,25075,26561,19844,26646,20376,25837,23905,15103,25060,23834,27412,27471,24435,26609,16522,17013,29034,25078,29055,29900,25768,18861,20954,22727,22726,31903,20961,23279,26568,27236,31907,27234,23849,28130,27342,23933,17012,32896,14662,32842,26630,24400,30969,28194
25045,25871,24472,23871,23881,27444,23878,25064,25962,21594,25067,23252,23895,24386,24438,25053,25062,25990,25056,19853,24418,26581,25811,27418,29814,25039,23849,18859,23820,22191,9628,25133,22190,25029,8731,20955,25977,20967,23325,26659,2943,23272,9996,24424,22728,23877,34189,19337,24460,25079,23838
25046,25739,26646,27312,36756,25144,25837,24432,25060,27471,25160,28206,23270,23905,36714,25988,26505,26584,29034,24400,26714,34008,20362,25044,23951,36820,24468,28212,22225,27335,24416,24435,29882,28117,28109,29810,25034,32842,25935,29000,26468,25075,20970,26466,27412,12542,27234,32009,31907,20398,28889
25047,24461,24404,24479,26479,28102,26499,31825,25753,25842,22188,28929,28112,25030,26530,25146,30832,27337,23884,27331,21602,28999,22217,30795,26505,31822,31843,21579,29830,27234,23874,28937,25838,23860,25129,24482,29954,28089,25190,25785,30769,23854,27379,25185,23840,24477,25136,32856,30816,18872,28109
25048,24402,25051,24559,23899,25181,25241,25037,25104,25129,23840,24448,23403,23852,25748,24511,25163,25174,23835,27264,25856,25212,25155,25216,26617,23896,22195,23827,25142,24488,25224,25146,24490,25765,26451,25869,25090,25893,24491,24480,23897,23863,27245,24550,25285,25844,25185,23285,25154,24465,24521
25049,23849,24438,23856,24472,25133,23838,24488,24491,21579,20955,25143,25067,24464,22190,26489,25060,22726,25034,23905,25044,25053,24408,23860,23847,25062,25039,24400,23895,23933,25763,20372,26581,25990,25146,25075,22211,25038,26659,20376,26561,26530,20954,27337,25073,23877,25822,27328,23260,24416,17011
25050,23856,24465,25224,25221,25212,25199,23847,26563,24488,25143,25775,24464,23867,23849,24401,22189,22748,23838,24491,24416,25039,24480,25865,25146,23271,24430,23895,23877,23835,25998,22191,23874,25163,25034,25049,24468,25853,24421,25133,21579,25765,25059,25822,23904,22190,25242,25935,25824,24472,23868
25051,24448,24402,25181,25048,23852,23840,24559,25129,25144,23835,25212,25154,25146,23899,25748,25050,24480,25241,25174,25224,25846,25090,25038,26617,24514,23856,25228,23285,24465,27264,23847,23863,24491,25163,24401,24488,25844,26517,24449,25151,25765,25185,24464,28041,25865,23904,25785,24479,24550,25143
25052,25850,24449,22189,25224,23874,23868,25030,19365,26534,25824,21581,25174,26530,20971,24416,24468,23887,24455,22769,25086,26545,17943,27306,23860,21579,23269,24479,25838,22234,19860,19845,18876,25039,24488,25059,23849,25788,27258,24491,23286,24430,23838,23890,20989,23895,18908,24465,28244,28041,20983
25053,25064,25060,25034,25768,25044,24438,25837,26609,26561,25990,25049,24472,23905,25949,23877,23878,20955,23820,23849,26659,26468,15103,24408,25075,24400,24432,19844,20961,23272,22190,26646,23933,28194,25978,27337,22727,19850,28879,25962,20367,23279,25079,29055,23270,25133,21594,25045,26581,20362,25078
25054,25069,26001,23871,22254,25071,25894,25079,24414,25045,25068,25763,25871,25042,25811,25933,24424,25053,23892,25086,25925,23826,23894,25098,23857,23877,24386,25853,25060,24438,25775,25976,25064,12540,22202,24440,25772,25983,11168,25784,25900,25035,2498,25172,25990,24418,25876,23849,25962,28091,25865
25055,24526,22829,27452,24475,25740,25074,24433,24466,25159,23940,25218,25173,25817,24418,27319,29924,28900,25243,25192,23868,25059,24560,28074,24652,23955,30808,25184,24484,23335,25767,28966,23316,25140,22862,24571,25036,29846,23897,23874,25864,25180,25811,27403,28253,27348,25033,28062,28946,26460,24550
25056,25871,28211,25045,23881,23871,37216,19853,25295,26582,23892,23325,23826,24405,24424,25903,23277,26614,23275,24447,24418,20967,23252,3158,21588,28107,24472,2041,25063,6316,6621,2501,37310,24460,6906,5761,25101,3157,25917,24510,29976,24463,3388,24457,4091,1824,2734,3168,9309,25195,24386
25057,22738,27244,19331,27335,25060,25837,25298,27507,28194,20958,31895,12542,23902,22225,30950,19862,22841,29048,29930,832,26744,19849,18470,24435,22204,29030,29933,28238,31880,16520,26592,29918,31104,26505,23270,29863,9627,25768,20362,16523,17501,27471,28271,23932,26561,17938,17013,22203,27236,31043
25058,24454,23843,24405,20394,22745,27494,24591,28236,24389,23817,24444,25343,10759,23453,25098,24029,25096,28101,17944,25239,25930,23893,24412,25172,25069,28264,24398,24386,25917,22372,24406,5236,28345,24443,26672,26577,24424,25982,25903,24399,25157,24419,22741,9626,25835,24393,24510,27480,8158,17477
25059,24465,22189,25224,25163,23874,22191,23847,25129,23895,24488,25050,25242,24421,24480,25149,25030,24416,25146,24430,25133,24491,23868,24401,25824,25140,22188,23877,23849,24477,25039,25143,24428,25164,25200,24492,24418,20358,26545,24464,23320,24449,25136,25067,22734,21579,24415,23856,24475,24479,23903
25060,25075,22726,26505,23270,18861,22727,16523,28130,29076,25837,25078,25768,24435,19334,30816,24436,17938,28156,28194,19849,18399,29034,27234,31907,20362,23933,28070,20954,34008,26592,29930,12542,32842,27412,24471,15593,25110,17481,23860,21592,25029,28179,28904,17013,32827,27471,17010,26561,26530,23849
25062,23260,25133,23849,22728,24477,25029,17943,23874,23860,24488,24472,23933,25067,22190,27427,26530,19334,21579,24438,23895,2943,22189,20983,28217,23838,22726,24491,18889,27444,12540,22191,26581,24471,26659,22727,25049,20989,20955,28928,25110,27337,2498,21594,19850,22225,28130,20961,21592,9629,19924
25063,23892,24424,24527,24456,23881,25101,26615,25056,24409,24437,23256,23826,25301,24447,24397,25295,23275,25071,25220,24510,26739,23843,24481,24440,26582,25172,25128,24398,24405,23252,23878,23894,26037,25098,26614,24414,25930,24460,25069,24386,25079,24403,25195,24457,25182,24443,24557,24463,25199,24462
25064,25053,23877,24438,23820,25990,25060,20961,25045,23849,25768,26659,24472,25133,26561,20955,25034,26581,25978,23857,23878,22190,19850,23272,26630,17943,22775,29055,25962,21590,21594,25086,26468,23298,25049,25837,22727,25763,25044,25949,25775,28201,27444,25029,18859,25977,19844,23856,23279,26609,25075
25066,35249,32886,35296,32899,32796,36842,39882,34045,31817,25218,24485,32850,34004,25213,31800,36684,34203,25744,32802,31867,24571,23387,35348,32923,30919,33999,34006,26474,24652,31861,35229,31947,26629,32812,27344,34226,34031,29868,31969,28167,24618,26628,34186,33987,32839,34005,35494,30801,35259,35501
25067,24472,22191,23895,24488,23838,23260,19339,23874,23933,25062,25990,19924,20983,27258,23849,21594,25049,27444,24477,29854,25039,27337,21579,22728,28083,27407,25133,23319,22189,26530,25029,26489,25242,26659,20970,16064,24438,26499,22225,12540,21591,2943,23820,24491,17943,18889,22188,23320,25763,28071
25068,25772,25778,25054,23892,25099,25101,25220,26007,25079,25042,25786,25983,25098,25081,25071,4537,25930,25756,25114,26739,25086,24557,2277,24424,24414,25195,18956,15167,25295,23881,20447,21635,22812,25069,25808,6041,24466,25848,25800,25045,12064,25993,25225,10026,11645,25900,4744,23826,25995,25876
25069,24424,21588,25925,25054,23871,25848,26001,25079,25903,24412,25045,24463,27415,24408,25917,25295,26672,23299,23272,25042,25053,25259,24438,25064,22197,23881,25073,24386,23255,25172,26640,23273,23857,23893,23894,24394,25962,24405,20967,23274,27418,28176,24534,25871,22202,23843,26577,18863,13631,23325
25070,23870,25141,25906,22864,26537,26456,26570,22854,23834,22212,26468,25144,24468,25244,25089,23856,23859,25176,30968,23861,12565,23832,27270,25949,27383,27439,25739,27343,23849,22769,26528,23284,23328,25044,26500,22748,21024,26475,27328,27372,24432,25129,23951,24539,23291,22208,23852,23882,25053,21601
25071,25101,25295,25069,25063,24429,23275,25079,25301,25042,23826,25199,24424,25811,25772,25054,25786,24414,25045,24447,23892,25056,23255,25134,25900,24440,25982,25871,25195,26582,27418,25073,25268,24527,26478,27415,23252,24463,25747,23881,24403,24438,25220,25098,23844,23843,26614,23276,25925,25749,23894
25072,26613,23840,25154,27360,25129,24449,23863,24479,23284,24468,25153,28089,25136,24461,25030,27379,26517,22246,25144,23854,21579,26539,25185,25174,30770,29826,26611,30772,24416,25038,23903,25047,25146,24491,25111,25739,22188,31885,24488,22208,29841,27332,18869,25788,25798,27310,25181,23884,25238,27331
25073,24438,25049,24463,24408,25067,25079,24412,25759,22197,24534,23893,27313,23272,21591,28083,23894,23299,25053,25259,24472,24424,24460,23274,25949,23838,23820,23856,22755,23878,26609,24452,26577,21585,25199,27328,23905,25172,24462,26489,23857,23881,23255,20955,25044,19337,25903,27415,23826,22748,20967
25074,25195,25192,24418,25184,24466,25032,24475,25811,25173,23868,25083,25108,24433,25055,25242,24430,25196,25128,25039,24526,24460,25200,25086,25035,27316,25919,24492,25217,24465,22189,25199,23895,23838,25740,24423,24421,25762,27353,25045,22743,24472,27278,26527,26487,23855,24484,23891,23858,23874,25052
25075,22727,25078,29076,25060,23270,28130,24436,28179,27412,28156,24435,24471,31907,28070,29034,28904,27342,22726,35399,32842,27234,25110,25837,26630,20362,34044,34008,17013,24451,30962,29970,29930,29954,25768,30969,32827,20954,30816,28229,29972,18861,31961,19334,17481,22200,35421,23889,27471,16523,23860
25076,25841,27324,21607,26525,22728,28104,5486,23260,2498,3156,25140,26618,8737,24477,12048,6320,6912,25030,10768,8166,3614,30815,29038,17478,3383,23874,29840,22188,27427,16064,5763,27442,25984,9629,13644,20952,32856,9310,31920,30769,24450,22191,29936,15601,23848,30926,31827,26641,25029,29830
25078,29076,25075,22727,23270,24436,24451,28179,28156,25768,28070,27412,22200,28130,23889,24435,25060,14660,29034,17481,35399,24471,26561,27342,13073,32827,26630,29970,31907,30962,28904,25837,20362,15593,29930,31961,34044,28194,29959,14659,17010,32842,27234,22726,25110,19334,30969,30816,17938,23933,30810
25079,24463,23869,26627,25931,25053,25073,24386,19344,25172,25064,25045,24438,24408,28226,25128,24472,25049,20385,25759,13631,12541,21621,25811,23893,24460,24424,23362,25949,23299,21585,23272,23881,23894,25903,25763,24534,25295,23252,18967,25259,20955,25848,23857,19982,23274,25917,23878,25042,26581,22755
25080,25218,25213,25285,25889,24567,25036,25208,24619,25912,24485,24606,25150,25130,24413,24571,26474,25769,25744,25243,23848,25216,23293,24655,25203,24572,25202,25140,26540,23982,24450,24543,24550,25155,25979,23897,24470,24618,24521,23928,25777,25204,25085,24546,25076,23929,25807,24518,24417,25289,23829
25081,25835,25778,25101,25099,23886,25993,25079,25295,25071,24516,25095,25073,23821,25881,26614,25138,25878,25991,25083,25983,26598,26004,25260,25259,22197,25989,25042,24406,24424,23394,25098,25876,25759,23844,24557,25811,23826,26007,25068,23908,25058,25115,23893,25053,24394,24510,26649,19336,23935,23858
25083,25182,25192,23858,25128,24483,25199,25195,24429,24418,24475,25073,25074,25301,25811,24549,23894,23838,24466,23820,25145,23826,24460,25172,24438,25039,24463,25152,25173,24484,24527,25242,25049,25763,24492,23890,25050,24403,25759,24472,27273,24433,25747,25258,24550,25180,24430,25225,24424,25200,22743
24386,23252,25045,25962,23272,25079,23878,25977,23881,25064,25053,21582,25903,24472,24405,24460,25917,26581,25848,24424,18859,24438,21584,23857,23871,25978,20955,25768,10763,19337,19853,24463,24443,23820,20967,25098,25172,17945,26582,21594,23817,27444,25871,23843,20369,11607,23877,25295,24442,13632,24408
25085,25030,24450,25140,23848,24476,25076,23260,23928,21604,24428,23891,25036,25062,22728,24606,25215,25897,25285,23874,6320,2498,22188,25824,3156,25870,9310,23895,25213,5486,24479,25849,24477,12048,3383,23868,24562,24485,25792,23838,24488,25218,22189,12540,25150,22190,25130,8737,22219,7517,24465
25734,25793,25742,25803,25762,25740,25765,24487,25775,25844,25781,25910,25853,25865,25746,25840,25743,25102,25031,25037,25736,25769,25756,25748,25824,25913,25784,25864,25035,25050,25850,25752,25814,25869,25817,25086,25212,25749,25811,25751,25055,23867,26563,25033,24526,25810,25221,24465,25217,25834,25767
25086,25990,25763,23874,23895,25039,25133,23838,25824,25850,23877,22189,22191,25838,21593,25853,23849,22190,25822,24477,25064,19845,23320,25785,26659,23847,25811,25242,12540,25865,21590,25029,25035,24488,20983,23260,24464,21594,23298,17943,22728,25143,24438,23860,2943,24472,30785,28873,25062,20961,24465
25735,25089,27246,27345,25997,25753,25745,28935,28845,30938,29966,27417,23870,25190,29882,27243,25160,25843,28228,25739,25216,26475,28915,29005,26479,27368,25866,26499,25845,25818,22854,27379,25842,29960,25893,24461,28157,28108,23839,24404,24659,24507,16062,23319,25238,30780,28109,29851,31946,28929,32898
25736,25740,25734,25807,25742,25790,24474,24475,24535,25814,24433,25033,23897,25803,25031,25035,25812,25757,26000,24427,25974,23846,25229,25811,24526,25102,25159,25793,25767,24519,25762,25055,25043,24521,25779,25201,25192,25869,25090,24489,25879,25850,25834,25751,25048,24550,25819,25992,25960,25781,24536
25737,23897,25745,25155,24507,24536,23314,25190,29815,25753,25779,27417,25216,27345,25761,28228,27315,30780,27246,25842,23829,23957,25834,27392,23929,30820,29016,26450,25828,35366,25031,25997,28108,25845,26464,25814,25817,25160,25047,29882,22246,25040,25238,21580,28915,25233,23900,25893,27319,27299,25825
25738,25093,25037,25874,25825,25761,24502,25796,25813,23883,25803,25807,23269,25779,25241,25748,25104,25737,25831,25857,25869,25828,26455,25742,25832,24559,25888,25174,25765,25142,25321,25899,25877,25814,25040,25844,25788,25153,25751,25845,25817,25840,25781,25856,21617,25824,25872,28846,22867,25777,25785
25088,25101,25982,25117,26046,25295,25098,25260,26021,25071,24460,25811,25883,25083,24405,26037,25917,23813,24531,23252,25079,25894,24386,10759,25045,25871,22741,23843,23878,27321,25056,25343,24459,25200,26556,24463,24409,26614,25301,25835,25053,26014,25975,20959,20377,27346,25276,24557,24442,25081,22198
25089,25160,31786,23839,27246,23319,21701,25753,22854,25238,25190,26499,28845,23983,17037,21057,25843,27258,28112,25934,17979,29882,24400,29990,28109,27337,23870,20454,28206,28048,18918,21616,26579,20428,21652,20479,24404,28915,31946,27379,23328,16085,19333,20992,28999,29900,27372,28102,25998,16532,19342
25739,27360,25144,26611,20414,26584,22234,26505,28212,23932,26646,28206,24468,18861,22208,18869,20395,23270,20362,20954,25998,20372,24416,27471,24432,34008,26528,31907,25988,31043,24435,32842,26530,18872,19849,16523,26568,23282,23905,29034,23280,26517,29028,25060,28889,25837,17013,23284,26714,18436,28860
25090,25051,24559,23899,25155,25048,24402,24497,24448,25812,25181,25159,25037,24509,24407,23827,25174,23852,25911,25233,24561,22210,25846,25212,24427,24521,25142,23896,25218,25825,24474,25072,25154,25241,27245,25120,24536,25803,23879,23835,25748,25765,24529,26569,23880,23897,28863,25204,28998,24514,29807
25091,22213,27286,24510,25759,25851,26024,25157,25750,25259,23839,41550,34148,36915,26687,25934,28250,25165,26072,25189,25073,28293,31782,26542,22865,28083,25926,30033,23326,29863,28226,27404,26672,23299,26587,20431,22821,27354,25232,24570,24394,29170,31928,17979,24412,28202,28073,30865,27313,25128,29050
25092,27305,7226,25045,22743,25133,22190,28230,24472,9629,8734,6320,24418,26621,25990,26562,25039,2498,18859,23895,25871,23260,22240,19872,23877,28047,22211,23849,23336,20991,22728,2943,27444,26641,22191,17943,25962,27273,21590,25064,20961,26659,21593,21596,27505,27418,20983,9996,26001,28233,23320
25740,25762,25035,25811,25767,24475,24433,25055,25184,25734,25850,23971,25974,25033,25086,25824,25742,25074,25195,25736,24526,25864,25751,25031,24415,25173,27316,26460,25992,26511,25200,25919,25743,24487,25242,26541,25765,25817,25879,25763,25775,27278,25865,25853,25999,25990,23324,23868,24466,20365,25793
25093,25830,25241,25847,26538,25174,25153,26550,23280,26620,25888,28860,25738,25176,25803,27244,25748,26611,23269,29853,22310,25877,18870,23840,25874,25976,30770,25844,24449,17480,20395,25765,22234,25144,26714,21115,25037,27259,28084,18881,19454,24490,22251,25166,26439,21581,22236,23304,19359,39963,28097
25095,29776,25097,25883,26570,25073,22243,25756,24403,23853,25973,25949,18890,29939,22748,23861,22776,25081,22203,25996,19391,23844,30968,22294,19946,25079,18950,20393,23255,25042,28065,21585,25810,22264,23348,23273,25053,26537,16078,25141,31009,21759,26598,25835,16545,25848,26487,26004,25925,24651,28075
25742,25765,24487,25734,25844,25749,25775,25762,25031,25824,25853,25781,25748,25865,25913,25850,25037,25035,25879,24465,25832,25793,25761,25743,25740,25033,25785,23867,25869,25064,25822,25788,25803,25814,25910,25086,24561,25779,25784,25212,25736,25811,24401,25746,25163,25763,25840,25838,26446,25810,23847
25096,9665,8158,29079,398,7559,26693,2511,6371,18079,28203,9656,26035,10020,5789,25343,20450,28277,26681,6905,29963,9060,3618,18021,1842,20493,13722,25917,8733,5244,12586,3887,13671,6928,1093,4330,1829,10803,8219,19390,30907,8525,10032,716,18460,1397,3881,3400,6946,11661,28241
25097,25907,26537,24539,23885,25883,25935,25810,25749,25053,23905,25176,26468,25949,22212,26663,25775,25923,25079,25034,23861,25747,25145,25046,23834,26570,22748,26475,25926,25049,25095,25060,24452,26489,24534,27383,26635,23856,23870,25847,25822,26646,27328,25865,23282,23255,22203,25739,25784,25998,27270
25098,25295,24386,25101,25917,25903,25848,24405,25975,23252,25172,25045,23881,25982,19847,26014,24398,25069,25079,25962,23817,25835,24424,23276,25871,27459,26582,24443,25260,19336,19853,23275,25064,20959,23843,22745,25977,19846,21584,26615,24462,24447,23878,20517,24454,24442,27429,25063,27313,27329,26614
25099,25929,25778,25081,25295,27454,24467,23276,26598,25993,25068,26467,23275,25071,32179,23894,23359,25876,28075,24447,26003,22253,22812,27381,25101,25220,26576,28088,26035,25114,25784,25800,25946,26582,25991,25913,23886,26755,25098,27493,6055,25786,23892,23862,28210,25995,21759,25920,25925,25811,25079
25101,25295,26614,25098,25071,24412,24405,25903,25848,24424,23275,25835,24386,25063,23252,23272,23826,23892,20959,25045,22197,25073,23881,24510,25917,23894,25056,25172,27321,24463,25079,25982,23276,25883,23886,26582,20967,27415,27313,25183,25871,23843,24406,24447,26672,25759,25128,24394,26037,23255,26649
25743,25784,25924,25850,24487,25765,25865,25775,25086,25853,25824,25879,25830,25749,25822,25785,25811,25990,25748,25844,25788,25935,25102,25742,25838,25221,25052,24458,25734,25035,25923,25762,25910,25814,25763,25143,25064,24465,25843,25918,25845,25031,25976,25747,27453,25995,26500,25033,25810,26559,23887
25744,24618,24485,26463,23976,25889,25066,25080,24572,25912,23986,24567,25849,25213,24546,26540,26629,24540,23999,24521,24655,24470,24641,25979,24606,26474,23368,23387,25813,24571,28045,26532,24652,25218,25208,28899,23940,25285,25857,24413,23829,23982,24619,23866,22233,27434,29968,30919,25155,25033,24543
25745,25238,25190,26450,25753,27417,24507,25737,27345,27368,25843,29815,28228,25842,28108,31786,27246,24404,21701,25089,25997,27258,21743,21616,29990,25160,26464,23319,26479,23957,30780,28929,26499,25031,25814,28037,25845,24461,23983,25216,32870,23293,25047,25834,30820,22786,29784,21075,30832,19906,20992
25102,27284,25050,24514,25212,25830,26500,25910,27247,25765,25748,26563,25241,26545,25865,23882,23856,25221,27317,23867,26559,25224,24465,27343,27416,23852,26446,24488,25923,22208,23876,25847,28152,22748,26554,26517,25199,22250,24480,26462,26560,23838,25840,27425,27264,25844,26528,24468,25775,24464,26537
25746,25734,25749,25752,25756,25793,25742,25786,24425,25827,25781,25811,25042,25071,25946,25810,25935,25740,28036,25775,25834,25974,23950,25093,25993,25840,25853,25817,25784,25888,25199,22777,25743,25762,25169,25763,25054,24433,25035,25847,25031,21083,25050,25778,25772,25850,25803,25814,25064,26487,24487
25104,25155,25048,24502,25285,24559,23251,25043,23829,25236,23827,24493,23897,25233,24413,23899,25235,24550,25216,25174,25241,24521,25218,25142,24511,25264,23840,25158,24402,27231,24509,23852,24555,25051,23880,24427,24507,23896,25072,25154,25761,23866,25779,23403,24552,24518,25166,26553,25129,24407,23830
25747,25811,25934,25128,25775,23326,25079,25990,26489,26579,28864,22205,25759,25053,25949,30839,25879,23820,21634,24484,21610,27328,25935,25853,28879,28230,21593,25865,23839,19333,26577,20365,25073,25933,30798,25034,28073,24429,25763,28083,25918,21591,18875,23905,25977,25784,22743,25852,26468,31913,25064
25748,25844,25765,25785,25824,25822,25146,24488,25038,25838,24491,23835,26517,25224,23840,26528,24464,25865,24449,22208,23856,26554,25143,25163,25185,23847,24480,23849,24479,27425,25181,25788,21579,25034,25850,25129,25049,23874,23860,25136,19845,26530,25133,25976,24487,24455,25030,21601,25144,22189,25174
25105,25930,22740,25925,25117,17492,25069,15117,3648,25268,21588,24424,25295,24393,25259,25894,25056,25071,18487,25172,24463,22741,25183,1842,23843,25265,26024,25239,23869,25260,25759,23255,23310,23274,23275,25045,24542,25079,9315,24457,27313,23881,23862,22197,24408,24510,25274,25073,25098,25917,24437
25106,40091,29077,35558,34093,35267,32145,27432,41897,25837,30982,36868,32104,33074,22738,38312,26466,31990,36833,10800,6351,36888,8489,11680,29065,45212,13127,10402,43372,38414,29000,22203,39959,13689,14668,26780,31001,31135,31994,39955,36882,30941,24389,9067,25281,32124,36935,26646,36889,19439,25290
25107,27297,22199,25780,22742,26588,19868,23906,25183,23822,25835,25101,17512,23901,26684,25115,25980,23348,25816,25260,6908,20415,17021,26022,23382,26669,26072,23274,28956,28250,21010,26674,23394,16564,18406,22197,31976,23977,26024,25259,27541,24393,25881,27549,23255,12556,19875,22213,7248,24394,17032
25749,25810,25742,25042,25775,25097,25781,25765,25853,25743,25784,25865,25879,25034,25850,25844,25910,25035,24483,25079,25763,25935,25064,25762,25221,24487,25913,25746,25086,25748,23856,25031,25053,23867,25822,25212,24465,25811,25840,24513,25071,25747,23834,25069,25824,26462,25907,25778,25785,25145,23832
25750,27443,33055,29863,31868,30898,29965,25934,30950,22841,28879,26016,28083,20367,36849,18907,28990,32932,23839,26609,34148,26072,22203,28864,31880,28048,32952,18862,28194,29933,24400,28202,31809,29048,28281,26646,28238,28169,34075,28979,23273,26489,21630,17979,24534,25259,21591,32895,30978,28073,14675
25751,25740,25769,25734,25781,25814,25761,25813,25762,25757,25031,25033,25828,25745,25736,25756,25807,25040,25866,25744,25743,25811,23827,25738,24487,25155,25093,25321,25984,25742,25037,25834,24413,25817,25860,25746,25779,25831,25812,25035,25850,25864,25999,25055,25233,23879,24466,25872,25805,25793,25824
25752,25910,25746,25734,25820,25204,25095,25102,25830,25765,25221,25781,23867,25212,25890,25775,25946,25037,25899,24514,24487,26599,25743,25844,25050,24465,23342,25742,28036,24559,24561,23899,26462,25749,24545,27230,25214,25811,25054,25865,25793,25176,26481,25803,24513,25748,25784,23861,25756,25093,25051
25753,25190,26499,27258,26479,23319,25238,27337,24404,28102,27417,28999,31786,28112,32870,24461,19924,26530,20983,28048,28108,25990,34061,19845,30795,28937,25838,18889,25822,34091,20398,23933,25029,29908,29954,12540,29830,25785,25160,18872,31897,28206,22188,19334,27234,17037,21602,32884,27379,28109,20970
